domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,1,1,4474,2656,648,846.0,846,465.0,1.0,466.0,2.0,465.0,614.0,0.2,true
VacuumRobot,1,2,440,255,15,704.0,704,465.0,540.0,124.0,537.0,127.0,614.0,0.2,false
VacuumRobot,1,3,12841,7617,4775,630.0,630,465.0,242.0,327.0,243.0,326.0,614.0,0.2,false
VacuumRobot,1,4,3323,1967,1862,624.0,624,465.0,578.0,40.0,579.0,39.0,614.0,0.2,false
VacuumRobot,1,5,5453,3248,1258,618.0,618,465.0,29.0,492.0,63.0,464.0,614.0,0.2,false
VacuumRobot,1,6,2684,1572,501,614.0,614,465.0,85.0,470.0,100.0,457.0,614.0,0.2,false
VacuumRobot,2,1,8846,5247,2082,871.0,871,525.0,1.0,524.0,2.0,523.0,737.0,0.2,false
VacuumRobot,2,2,17376,10316,7692,797.0,797,525.0,835.0,18.0,836.0,17.0,737.0,0.2,false
VacuumRobot,2,3,24129,14342,13283,753.0,753,525.0,70.0,475.0,64.0,479.0,737.0,0.2,false
VacuumRobot,2,4,294,168,36,743.0,743,525.0,717.0,20.0,739.0,8.0,737.0,0.2,false
VacuumRobot,2,5,58241,34527,8125,740.0,740,525.0,385.0,242.0,391.0,238.0,737.0,0.2,false
VacuumRobot,2,6,42331,25245,4480,738.0,738,525.0,512.0,170.0,513.0,169.0,737.0,0.2,false
VacuumRobot,2,7,91217,54529,1196,737.0,737,525.0,190.0,462.0,190.0,462.0,737.0,0.2,false
VacuumRobot,3,1,13149,7770,3199,810.0,810,397.0,1.0,396.0,2.0,395.0,655.0,0.2,true
VacuumRobot,3,2,7664,4490,2653,716.0,716,397.0,417.0,189.0,420.0,188.0,655.0,0.2,false
VacuumRobot,3,3,7209,4271,1784,700.0,700,397.0,640.0,44.0,641.0,43.0,655.0,0.2,false
VacuumRobot,3,4,31292,18541,12227,672.0,672,397.0,49.0,418.0,49.0,418.0,655.0,0.2,false
VacuumRobot,3,5,984,581,230,664.0,664,397.0,511.0,105.0,512.0,104.0,655.0,0.2,false
VacuumRobot,3,6,9691,5711,1624,658.0,658,397.0,236.0,306.0,237.0,305.0,655.0,0.2,false
VacuumRobot,3,7,120622,71980,5631,657.0,657,397.0,100.0,423.0,104.0,420.0,655.0,0.2,false
VacuumRobot,3,8,18857,11297,2,655.0,655,397.0,177.0,449.0,177.0,449.0,655.0,0.2,false
VacuumRobot,4,1,2348,1377,210,521.0,521,337.0,1.0,336.0,2.0,335.0,477.0,0.2,false
VacuumRobot,4,2,7404,4323,2486,483.0,483,337.0,302.0,141.0,300.0,143.0,477.0,0.2,false
VacuumRobot,4,3,12063,7127,1868,477.0,477,337.0,313.0,118.0,314.0,117.0,477.0,0.2,false
VacuumRobot,5,1,4745,2828,394,891.0,891,450.0,1.0,449.0,2.0,448.0,689.0,0.2,true
VacuumRobot,5,2,15517,9222,7059,765.0,765,450.0,141.0,350.0,139.0,352.0,689.0,0.2,false
VacuumRobot,5,3,25961,15299,11754,725.0,725,450.0,38.0,414.0,46.0,410.0,689.0,0.2,false
VacuumRobot,5,4,71111,42093,34022,707.0,707,450.0,15.0,445.0,4.0,452.0,689.0,0.2,false
VacuumRobot,5,5,54973,32873,20427,691.0,691,450.0,240.0,297.0,223.0,308.0,689.0,0.2,false
VacuumRobot,5,6,113330,67785,7712,689.0,689,450.0,26.0,474.0,27.0,473.0,689.0,0.2,false
VacuumRobot,6,1,3132,1835,242,706.0,706,474.0,1.0,473.0,2.0,474.0,624.0,0.2,false
VacuumRobot,6,2,99,58,15,692.0,692,474.0,666.0,22.0,667.0,21.0,624.0,0.2,false
VacuumRobot,6,3,10112,5890,2638,634.0,634,474.0,14.0,462.0,15.0,461.0,624.0,0.2,false
VacuumRobot,6,4,20749,12408,2372,624.0,624,474.0,33.0,473.0,32.0,474.0,624.0,0.2,false
VacuumRobot,7,1,4391,2605,534,708.0,708,367.0,1.0,366.0,2.0,365.0,588.0,0.2,true
VacuumRobot,7,2,12869,7507,4495,616.0,616,367.0,648.0,20.0,646.0,22.0,588.0,0.2,false
VacuumRobot,7,3,13524,7729,6290,604.0,604,367.0,553.0,27.0,554.0,26.0,588.0,0.2,false
VacuumRobot,7,4,11764,6818,6513,592.0,592,367.0,305.0,191.0,288.0,202.0,588.0,0.2,false
VacuumRobot,7,5,59197,35214,8975,588.0,588,367.0,293.0,191.0,276.0,202.0,588.0,0.2,false
VacuumRobot,8,1,16299,9695,4178,895.0,895,392.0,1.0,391.0,2.0,390.0,577.0,0.2,true
VacuumRobot,8,2,5219,3040,2283,637.0,637,392.0,28.0,374.0,29.0,373.0,577.0,0.2,false
VacuumRobot,8,3,2500,1397,840,611.0,611,392.0,574.0,35.0,573.0,36.0,577.0,0.2,false
VacuumRobot,8,4,18147,10497,8202,585.0,585,392.0,200.0,261.0,201.0,260.0,577.0,0.2,false
VacuumRobot,8,5,11620,6900,2794,577.0,577,392.0,503.0,52.0,518.0,43.0,577.0,0.2,false
VacuumRobot,9,1,3312,1922,334,740.0,740,458.0,1.0,457.0,2.0,458.0,618.0,0.2,false
VacuumRobot,9,2,3222,1830,1390,714.0,714,458.0,659.0,35.0,655.0,37.0,618.0,0.2,false
VacuumRobot,9,3,15133,8841,4651,638.0,638,458.0,91.0,387.0,64.0,404.0,618.0,0.2,false
VacuumRobot,9,4,5089,2910,2611,624.0,624,458.0,552.0,46.0,550.0,48.0,618.0,0.2,false
VacuumRobot,9,5,3422,2002,1402,620.0,620,458.0,606.0,12.0,510.0,80.0,618.0,0.2,false
VacuumRobot,9,6,8018,4712,1883,618.0,618,458.0,16.0,470.0,17.0,469.0,618.0,0.2,false
VacuumRobot,10,1,30941,18548,11367,833.0,833,342.0,1.0,341.0,2.0,340.0,569.0,0.2,true
VacuumRobot,10,2,45337,26843,19695,585.0,585,342.0,17.0,333.0,16.0,334.0,569.0,0.2,false
VacuumRobot,10,3,10063,5912,3253,569.0,569,342.0,512.0,41.0,512.0,41.0,569.0,0.2,false
VacuumRobot,11,1,2029,1191,172,508.0,508,327.0,1.0,326.0,2.0,325.0,442.0,0.2,false
VacuumRobot,11,2,3757,2219,1511,482.0,482,327.0,470.0,18.0,471.0,17.0,442.0,0.2,false
VacuumRobot,11,3,13984,8165,3710,458.0,458,327.0,159.0,214.0,170.0,207.0,442.0,0.2,false
VacuumRobot,11,4,690,359,225,454.0,454,327.0,451.0,5.0,452.0,4.0,442.0,0.2,false
VacuumRobot,11,5,3363,1993,87,452.0,452,327.0,445.0,7.0,446.0,6.0,442.0,0.2,false
VacuumRobot,11,6,1996,1173,89,442.0,442,327.0,439.0,11.0,440.0,10.0,442.0,0.2,false
VacuumRobot,12,1,11973,7086,2547,806.0,806,442.0,1.0,441.0,2.0,440.0,612.0,0.2,true
VacuumRobot,12,2,31867,18643,13078,668.0,668,442.0,78.0,378.0,76.0,380.0,612.0,0.2,false
VacuumRobot,12,3,5523,3273,1846,654.0,654,442.0,647.0,11.0,648.0,10.0,612.0,0.2,false
VacuumRobot,12,4,20749,12245,10672,642.0,642,442.0,632.0,12.0,633.0,11.0,612.0,0.2,false
VacuumRobot,12,5,22305,13141,8619,638.0,638,442.0,621.0,11.0,623.0,11.0,612.0,0.2,false
VacuumRobot,12,6,28969,17371,12858,636.0,636,442.0,304.0,228.0,304.0,228.0,612.0,0.2,false
VacuumRobot,12,7,31186,18514,1883,616.0,616,442.0,78.0,420.0,78.0,420.0,612.0,0.2,false
VacuumRobot,12,8,12651,7446,983,612.0,612,442.0,288.0,282.0,286.0,284.0,612.0,0.2,false
VacuumRobot,13,1,2596,1568,208,666.0,666,411.0,1.0,410.0,2.0,409.0,520.0,0.2,true
VacuumRobot,13,2,4303,2455,1521,554.0,554,411.0,12.0,399.0,16.0,397.0,520.0,0.2,false
VacuumRobot,13,3,7185,4139,2987,524.0,524,411.0,106.0,319.0,107.0,318.0,520.0,0.2,false
VacuumRobot,13,4,16575,9877,3228,520.0,520,411.0,6.0,407.0,33.0,386.0,520.0,0.2,false
VacuumRobot,14,1,37099,21914,15360,911.0,911,478.0,1.0,477.0,2.0,476.0,778.0,0.2,false
VacuumRobot,14,2,1647,955,769,897.0,897,478.0,835.0,32.0,835.0,32.0,778.0,0.2,false
VacuumRobot,14,3,7923,4672,2974,865.0,865,478.0,725.0,92.0,726.0,91.0,778.0,0.2,false
VacuumRobot,14,4,15052,8757,2467,826.0,826,478.0,47.0,515.0,63.0,505.0,778.0,0.2,false
VacuumRobot,14,5,3219,1971,1517,820.0,820,478.0,711.0,65.0,712.0,64.0,778.0,0.2,false
VacuumRobot,14,6,10423,6124,5621,808.0,808,478.0,635.0,115.0,666.0,96.0,778.0,0.2,false
VacuumRobot,14,7,2891,1764,1738,802.0,802,478.0,636.0,102.0,631.0,105.0,778.0,0.2,false
VacuumRobot,14,8,1871,1103,937,794.0,794,478.0,617.0,115.0,648.0,96.0,778.0,0.2,false
VacuumRobot,14,9,8622,5048,4310,790.0,790,478.0,635.0,97.0,619.0,107.0,778.0,0.2,false
VacuumRobot,14,10,3092,1764,576,778.0,778,478.0,608.0,116.0,590.0,128.0,778.0,0.2,false
VacuumRobot,15,1,2019,1162,33,663.0,663,433.0,1.0,432.0,2.0,431.0,553.0,0.2,false
VacuumRobot,15,2,5496,3196,2034,597.0,597,433.0,122.0,343.0,121.0,344.0,553.0,0.2,false
VacuumRobot,15,3,19047,11140,8329,561.0,561,433.0,33.0,404.0,40.0,399.0,553.0,0.2,false
VacuumRobot,15,4,32868,19139,2333,559.0,559,433.0,8.0,439.0,7.0,440.0,553.0,0.2,false
VacuumRobot,15,5,9106,5340,670,553.0,553,433.0,67.0,450.0,66.0,451.0,553.0,0.2,false
VacuumRobot,16,1,5592,3323,599,991.0,991,576.0,1.0,575.0,2.0,574.0,796.0,0.2,true
VacuumRobot,16,2,1854,1105,853,935.0,935,576.0,821.0,62.0,822.0,61.0,796.0,0.2,false
VacuumRobot,16,3,237,139,112,923.0,923,576.0,880.0,25.0,881.0,24.0,796.0,0.2,false
VacuumRobot,16,4,419,250,234,913.0,913,576.0,854.0,41.0,855.0,40.0,796.0,0.2,false
VacuumRobot,16,5,19940,11513,6839,863.0,863,576.0,82.0,506.0,80.0,508.0,796.0,0.2,false
VacuumRobot,16,6,227,134,125,851.0,851,576.0,808.0,25.0,809.0,24.0,796.0,0.2,false
VacuumRobot,16,7,420,251,241,841.0,841,576.0,787.0,38.0,782.0,41.0,796.0,0.2,false
VacuumRobot,16,8,17146,10179,4756,817.0,817,576.0,791.0,34.0,791.0,34.0,796.0,0.2,false
VacuumRobot,16,9,14967,8915,2059,802.0,802,576.0,777.0,26.0,778.0,25.0,796.0,0.2,false
VacuumRobot,16,10,47358,27834,17663,796.0,796,576.0,559.0,169.0,552.0,174.0,796.0,0.2,false
VacuumRobot,17,1,7302,4313,1541,732.0,732,309.0,1.0,308.0,2.0,307.0,500.0,0.2,true
VacuumRobot,17,2,8538,4987,3915,540.0,540,309.0,8.0,301.0,9.0,300.0,500.0,0.2,false
VacuumRobot,17,3,10524,6140,4011,502.0,502,309.0,6.0,315.0,7.0,314.0,500.0,0.2,false
VacuumRobot,17,4,70066,41599,2362,500.0,500,309.0,27.0,328.0,26.0,329.0,500.0,0.2,false
VacuumRobot,18,1,6231,3739,1480,658.0,658,379.0,1.0,378.0,2.0,377.0,546.0,0.2,true
VacuumRobot,18,2,12636,7369,5867,634.0,634,379.0,303.0,184.0,304.0,183.0,546.0,0.2,false
VacuumRobot,18,3,16777,9814,7757,608.0,608,379.0,16.0,367.0,17.0,366.0,546.0,0.2,false
VacuumRobot,18,4,23,14,7,602.0,602,379.0,587.0,11.0,588.0,10.0,546.0,0.2,false
VacuumRobot,18,5,11967,7066,3846,572.0,572,379.0,457.0,91.0,457.0,91.0,546.0,0.2,false
VacuumRobot,18,6,22,14,7,566.0,566,379.0,551.0,11.0,552.0,10.0,546.0,0.2,false
VacuumRobot,18,7,1419,808,596,554.0,554,379.0,500.0,44.0,501.0,43.0,546.0,0.2,false
VacuumRobot,18,8,13204,7781,2092,546.0,546,379.0,540.0,10.0,32.0,397.0,546.0,0.2,false
VacuumRobot,19,1,7069,4151,991,752.0,752,342.0,1.0,341.0,1.0,341.0,602.0,0.2,true
VacuumRobot,19,2,52096,30557,27145,632.0,632,342.0,201.0,231.0,202.0,230.0,602.0,0.2,false
VacuumRobot,19,3,26414,15439,8046,608.0,608,342.0,62.0,320.0,60.0,322.0,602.0,0.2,false
VacuumRobot,19,4,40483,23883,3024,602.0,602,342.0,48.0,374.0,409.0,133.0,602.0,0.2,false
VacuumRobot,20,1,9376,5616,1762,751.0,751,372.0,1.0,371.0,2.0,370.0,593.0,0.2,true
VacuumRobot,20,2,18676,10968,7798,613.0,613,372.0,29.0,401.0,29.0,401.0,593.0,0.2,false
VacuumRobot,20,3,2681,1572,175,611.0,611,372.0,44.0,408.0,45.0,407.0,593.0,0.2,false
VacuumRobot,20,4,75107,43985,16257,595.0,595,372.0,91.0,399.0,90.0,400.0,593.0,0.2,false
VacuumRobot,20,5,25,15,13,593.0,593,372.0,579.0,12.0,580.0,11.0,593.0,0.2,false
VacuumRobot,21,1,31519,18385,9637,940.0,940,384.0,1.0,383.0,2.0,382.0,566.0,0.2,true
VacuumRobot,21,2,36063,21131,12355,626.0,626,384.0,12.0,376.0,13.0,375.0,566.0,0.2,false
VacuumRobot,21,3,374,219,71,594.0,594,384.0,513.0,63.0,510.0,66.0,566.0,0.2,false
VacuumRobot,21,4,2853,1714,195,586.0,586,384.0,33.0,417.0,33.0,417.0,566.0,0.2,false
VacuumRobot,21,5,20956,12306,1280,572.0,572,384.0,68.0,416.0,68.0,416.0,566.0,0.2,false
VacuumRobot,21,6,57,32,27,568.0,568,384.0,543.0,23.0,544.0,22.0,566.0,0.2,false
VacuumRobot,21,7,7381,4174,850,566.0,566,384.0,512.0,48.0,513.0,47.0,566.0,0.2,false
VacuumRobot,22,1,4923,2872,528,826.0,826,492.0,1.0,493.0,2.0,492.0,738.0,0.2,false
VacuumRobot,22,2,38165,22894,20508,776.0,776,492.0,536.0,158.0,537.0,157.0,738.0,0.2,false
VacuumRobot,22,3,109173,64575,60572,742.0,742,492.0,28.0,474.0,29.0,473.0,738.0,0.2,false
VacuumRobot,22,4,94024,55575,11181,738.0,738,492.0,80.0,456.0,202.0,372.0,738.0,0.2,false
VacuumRobot,23,1,8876,5388,2129,899.0,899,456.0,1.0,455.0,2.0,454.0,693.0,0.2,true
VacuumRobot,23,2,8664,5455,4383,773.0,773,456.0,597.0,124.0,593.0,126.0,693.0,0.2,false
VacuumRobot,23,3,9578,5857,4067,753.0,753,456.0,697.0,36.0,655.0,56.0,693.0,0.2,false
VacuumRobot,23,4,16596,9937,9260,733.0,733,456.0,445.0,172.0,422.0,185.0,693.0,0.2,false
VacuumRobot,23,5,27291,16364,15119,717.0,717,456.0,402.0,187.0,415.0,180.0,693.0,0.2,false
VacuumRobot,23,6,49289,29225,27023,703.0,703,456.0,405.0,184.0,395.0,190.0,693.0,0.2,false
VacuumRobot,23,7,58946,34685,23989,697.0,697,456.0,319.0,242.0,307.0,250.0,693.0,0.2,false
VacuumRobot,23,8,24890,14880,657,695.0,695,456.0,87.0,431.0,88.0,430.0,693.0,0.2,false
VacuumRobot,23,9,52363,31417,642,693.0,693,456.0,141.0,437.0,174.0,411.0,693.0,0.2,false
VacuumRobot,24,1,10313,6038,1524,851.0,851,497.0,1.0,498.0,1.0,498.0,661.0,0.2,true
VacuumRobot,24,2,16092,9415,4128,687.0,687,497.0,759.0,50.0,760.0,49.0,661.0,0.2,false
VacuumRobot,24,3,875,470,255,675.0,675,497.0,541.0,102.0,540.0,103.0,661.0,0.2,false
VacuumRobot,24,4,15070,8826,4032,665.0,665,497.0,93.0,432.0,94.0,431.0,661.0,0.2,false
VacuumRobot,24,5,14591,8642,3507,661.0,661,497.0,49.0,494.0,59.0,486.0,661.0,0.2,false
VacuumRobot,25,1,2912,1730,310,628.0,628,388.0,1.0,387.0,2.0,386.0,524.0,0.2,false
VacuumRobot,25,2,5480,3236,2188,580.0,580,388.0,56.0,338.0,216.0,244.0,524.0,0.2,false
VacuumRobot,25,3,2549,1532,965,558.0,558,388.0,390.0,122.0,389.0,123.0,524.0,0.2,false
VacuumRobot,25,4,13882,8136,5213,534.0,534,388.0,17.0,379.0,17.0,379.0,524.0,0.2,false
VacuumRobot,25,5,10062,5987,4418,526.0,526,388.0,310.0,162.0,317.0,157.0,524.0,0.2,false
VacuumRobot,25,6,28974,17251,773,524.0,524,388.0,24.0,386.0,24.0,386.0,524.0,0.2,false
VacuumRobot,26,1,9973,5906,1730,667.0,667,264.0,1.0,265.0,1.0,265.0,503.0,0.2,true
VacuumRobot,26,2,25141,14421,5237,556.0,556,264.0,7.0,269.0,7.0,271.0,503.0,0.2,false
VacuumRobot,26,3,1213,695,396,542.0,542,264.0,476.0,34.0,475.0,35.0,503.0,0.2,false
VacuumRobot,26,4,6988,4044,2914,530.0,530,264.0,390.0,86.0,394.0,84.0,503.0,0.2,false
VacuumRobot,26,5,44331,25626,13089,518.0,518,264.0,52.0,305.0,48.0,308.0,503.0,0.2,false
VacuumRobot,26,6,62469,36482,5623,503.0,503,264.0,390.0,78.0,390.0,78.0,503.0,0.2,false
VacuumRobot,27,1,7585,4446,833,649.0,649,324.0,1.0,323.0,2.0,322.0,435.0,0.2,true
VacuumRobot,27,2,16132,9298,4446,493.0,493,324.0,50.0,292.0,51.0,291.0,435.0,0.2,false
VacuumRobot,27,3,965,539,325,477.0,477,324.0,471.0,10.0,472.0,9.0,435.0,0.2,false
VacuumRobot,27,4,2577,1470,1160,463.0,463,324.0,453.0,14.0,454.0,13.0,435.0,0.2,false
VacuumRobot,27,5,5114,2919,2515,457.0,457,324.0,440.0,13.0,438.0,15.0,435.0,0.2,false
VacuumRobot,27,6,3194,1814,1186,453.0,453,324.0,431.0,18.0,418.0,27.0,435.0,0.2,false
VacuumRobot,27,7,5561,3168,3139,445.0,445,324.0,412.0,29.0,413.0,28.0,435.0,0.2,false
VacuumRobot,27,8,3387,1925,1813,441.0,441,324.0,418.0,17.0,419.0,16.0,435.0,0.2,false
VacuumRobot,27,9,5883,3316,2959,435.0,435,324.0,400.0,29.0,401.0,28.0,435.0,0.2,false
VacuumRobot,28,1,2077,1201,37,696.0,696,456.0,1.0,455.0,2.0,454.0,562.0,0.2,true
VacuumRobot,28,2,7776,4545,2448,598.0,598,456.0,13.0,443.0,23.0,437.0,562.0,0.2,false
VacuumRobot,28,3,1245,711,462,588.0,588,456.0,520.0,56.0,520.0,56.0,562.0,0.2,false
VacuumRobot,28,4,1496,912,106,582.0,582,456.0,9.0,461.0,7.0,463.0,562.0,0.2,false
VacuumRobot,28,5,3570,2024,828,570.0,570,456.0,22.0,472.0,22.0,472.0,562.0,0.2,false
VacuumRobot,28,6,18,10,7,568.0,568,456.0,559.0,9.0,560.0,8.0,562.0,0.2,false
VacuumRobot,28,7,1847,1061,313,564.0,564,456.0,481.0,75.0,482.0,74.0,562.0,0.2,false
VacuumRobot,28,8,6964,4099,1096,562.0,562,456.0,553.0,9.0,542.0,18.0,562.0,0.2,false
VacuumRobot,29,1,3885,2318,562,596.0,596,327.0,1.0,326.0,2.0,325.0,443.0,0.2,true
VacuumRobot,29,2,8105,5003,4008,538.0,538,327.0,421.0,76.0,400.0,87.0,443.0,0.2,true
VacuumRobot,29,3,2330,1352,1053,502.0,502,327.0,331.0,111.0,332.0,110.0,443.0,0.2,false
VacuumRobot,29,4,14273,8471,7095,466.0,466,327.0,39.0,298.0,40.0,297.0,443.0,0.2,false
VacuumRobot,29,5,1344,750,529,454.0,454,327.0,370.0,60.0,371.0,59.0,443.0,0.2,false
VacuumRobot,29,6,6495,3741,1443,446.0,446,327.0,2.0,327.0,3.0,326.0,443.0,0.2,false
VacuumRobot,29,7,19015,11288,244,443.0,443,327.0,34.0,325.0,43.0,318.0,443.0,0.2,false
VacuumRobot,30,1,6368,3754,1086,773.0,773,457.0,1.0,456.0,2.0,455.0,609.0,0.2,true
VacuumRobot,30,2,21599,12753,10241,653.0,653,457.0,318.0,213.0,308.0,219.0,609.0,0.2,false
VacuumRobot,30,3,21067,12400,10037,625.0,625,457.0,463.0,120.0,464.0,119.0,609.0,0.2,false
VacuumRobot,30,4,58944,34526,29957,613.0,613,457.0,295.0,236.0,280.0,247.0,609.0,0.2,false
VacuumRobot,30,5,4801,2840,108,609.0,609,457.0,10.0,463.0,27.0,450.0,609.0,0.2,false
VacuumRobot,31,1,3190,1901,203,495.0,495,260.0,1.0,259.0,2.0,258.0,415.0,0.2,false
VacuumRobot,31,2,12830,7572,5085,425.0,425,260.0,94.0,188.0,97.0,187.0,415.0,0.2,false
VacuumRobot,31,3,25164,14626,2501,417.0,417,260.0,4.0,264.0,9.0,261.0,415.0,0.2,false
VacuumRobot,31,4,27511,16531,169,415.0,415,260.0,402.0,11.0,400.0,13.0,415.0,0.2,false
VacuumRobot,32,1,40502,24064,12651,704.0,704,297.0,1.0,296.0,2.0,295.0,442.0,0.2,true
VacuumRobot,32,2,3550,2043,1111,462.0,462,297.0,9.0,306.0,10.0,305.0,442.0,0.2,false
VacuumRobot,32,3,3252,1858,487,454.0,454,297.0,264.0,134.0,262.0,136.0,442.0,0.2,false
VacuumRobot,32,4,8638,4960,4301,446.0,446,297.0,405.0,37.0,406.0,36.0,442.0,0.2,false
VacuumRobot,32,5,9486,5631,567,444.0,444,297.0,398.0,36.0,399.0,35.0,442.0,0.2,false
VacuumRobot,32,6,15854,9291,855,442.0,442,297.0,49.0,336.0,42.0,342.0,442.0,0.2,false
VacuumRobot,33,1,4103,2304,471,694.0,694,391.0,1.0,390.0,2.0,389.0,544.0,0.2,true
VacuumRobot,33,2,6868,3960,2610,616.0,616,391.0,476.0,116.0,473.0,119.0,544.0,0.2,false
VacuumRobot,33,3,1384,756,376,590.0,590,391.0,384.0,130.0,385.0,129.0,544.0,0.2,false
VacuumRobot,33,4,8561,4916,4259,570.0,570,391.0,270.0,208.0,264.0,212.0,544.0,0.2,false
