hRange, Ratio, Pr(Ratio)<=
3.0,1.0,0.5957446808510638
3.0,2.0,0.7127659574468085
3.0,2.5,0.7340425531914894
3.0,4.5,0.7978723404255319
3.0,5.0,0.8829787234042553
3.0,5.5,0.8936170212765957
3.0,6.5,0.925531914893617
3.0,7.0,0.9574468085106382
3.0,7.5,0.9680851063829786
3.0,8.0,0.9893617021276595
3.0,9.0,1.0
4.0,1.6666666666666667,0.25
4.0,2.0,0.3
4.0,3.3333333333333335,0.5
4.0,3.6666666666666665,0.65
4.0,4.333333333333333,0.7000000000000001
4.0,4.666666666666667,0.7500000000000001
4.0,5.0,0.9000000000000001
4.0,5.666666666666667,0.9500000000000002
4.0,8.333333333333334,1.0
7.0,1.25,0.25
7.0,1.5,0.3181818181818182
7.0,2.0,0.4318181818181818
7.0,2.25,0.5227272727272727
7.0,2.5,0.6136363636363636
7.0,2.75,0.7272727272727273
7.0,3.0,0.8181818181818182
7.0,3.25,0.9090909090909092
7.0,3.75,0.9318181818181819
7.0,4.0,0.9545454545454546
7.0,4.25,0.9772727272727273
7.0,4.5,1.0
8.0,1.1666666666666667,0.022727272727272728
8.0,1.2,0.045454545454545456
8.0,1.2857142857142858,0.05303030303030303
8.0,1.3333333333333333,0.06818181818181818
8.0,1.4,0.07575757575757575
8.0,1.4285714285714286,0.09848484848484848
8.0,1.5,0.1590909090909091
8.0,1.6,0.17424242424242425
8.0,1.6666666666666667,0.1893939393939394
8.0,1.7142857142857142,0.2196969696969697
8.0,1.8,0.25757575757575757
8.0,1.8571428571428572,0.29545454545454547
8.0,2.0,0.3712121212121212
8.0,2.142857142857143,0.3939393939393939
8.0,2.1666666666666665,0.40909090909090906
8.0,2.2,0.44696969696969696
8.0,2.3333333333333335,0.5
8.0,2.4,0.5151515151515151
8.0,2.5,0.5227272727272727
8.0,2.6,0.5833333333333333
8.0,2.7142857142857144,0.6212121212121211
8.0,2.8,0.659090909090909
8.0,2.8333333333333335,0.6818181818181817
8.0,2.857142857142857,0.6893939393939392
8.0,3.2,0.6969696969696968
