InstanceID,h,opt
1,1.0,1.0,
1,2.0,2.0,
1,5.0,13.0,
1,7.0,14.0,
1,9.0,15.0,
1,10.0,16.0,
1,11.0,17.0,
1,12.0,23.0,
1,13.0,23.0,
1,14.0,29.0,
1,15.0,30.0,
1,16.0,30.0,
1,17.0,29.0,
1,18.0,26.0,
1,19.0,26.0,
1,20.0,27.0,
1,21.0,28.0,
1,22.0,37.0,
1,23.0,36.0,
1,24.0,38.0,
1,25.0,38.0,
1,27.0,39.0,
1,28.0,40.0,
1,29.0,41.0,
1,30.0,44.0,
1,32.0,45.0,
1,33.0,46.0,
1,34.0,47.0,
1,38.0,56.0,
2,1.0,1.0,
2,2.0,13.0,
2,3.0,11.0,
2,4.0,13.0,
2,5.0,13.0,
2,6.0,14.0,
2,7.0,12.0,
2,8.0,14.0,
2,9.0,24.0,
2,10.0,21.0,
2,11.0,35.0,
2,12.0,23.0,
2,13.0,35.0,
2,14.0,35.0,
2,15.0,35.0,
2,16.0,33.0,
2,17.0,37.0,
2,18.0,31.0,
2,19.0,38.0,
2,20.0,47.0,
2,21.0,69.0,
2,22.0,48.0,
2,23.0,68.0,
2,24.0,68.0,
2,25.0,68.0,
2,26.0,79.0,
2,27.0,73.0,
2,28.0,78.0,
2,29.0,79.0,
2,30.0,78.0,
2,31.0,76.0,
2,32.0,89.0,
2,33.0,84.0,
2,34.0,86.0,
2,35.0,91.0,
2,36.0,98.0,
2,37.0,96.0,
2,38.0,88.0,
2,39.0,89.0,
2,40.0,86.0,
2,41.0,106.0,
2,42.0,105.0,
2,43.0,105.0,
2,44.0,99.0,
2,45.0,94.0,
2,47.0,97.0,
2,48.0,99.0,
2,49.0,99.0,
2,50.0,105.0,
2,51.0,108.0,
2,52.0,109.0,
2,53.0,108.0,
2,54.0,110.0,
2,55.0,113.0,
2,56.0,118.0,
2,57.0,119.0,
2,58.0,120.0,
2,59.0,127.0,
2,60.0,128.0,
2,61.0,129.0,
2,62.0,126.0,
2,64.0,133.0,
2,65.0,135.0,
2,66.0,137.0,
2,68.0,135.0,
3,1.0,1.0,
3,2.0,9.0,
3,4.0,10.0,
3,5.0,13.0,
3,6.0,14.0,
3,7.0,14.0,
3,8.0,62.0,
3,9.0,26.0,
3,10.0,61.0,
3,11.0,42.0,
3,12.0,42.0,
3,13.0,42.0,
3,14.0,42.0,
3,15.0,43.0,
3,16.0,45.0,
3,17.0,46.0,
3,18.0,40.0,
3,19.0,45.0,
3,20.0,46.0,
3,21.0,115.0,
3,22.0,50.0,
3,23.0,114.0,
3,24.0,113.0,
3,25.0,126.0,
3,26.0,128.0,
3,27.0,140.0,
3,28.0,-1.0,
3,29.0,114.0,
3,30.0,169.0,
3,31.0,-1.0,
3,32.0,96.0,
3,33.0,124.0,
3,34.0,128.0,
3,35.0,61.0,
3,36.0,110.0,
3,37.0,138.0,
3,38.0,133.0,
3,39.0,125.0,
3,40.0,146.0,
3,41.0,101.0,
3,42.0,79.0,
3,43.0,142.0,
3,44.0,147.0,
3,45.0,142.0,
3,46.0,150.0,
3,47.0,104.0,
3,48.0,143.0,
3,49.0,152.0,
3,50.0,155.0,
3,51.0,114.0,
3,52.0,154.0,
3,53.0,152.0,
3,54.0,171.0,
3,55.0,201.0,
3,56.0,166.0,
3,57.0,169.0,
3,58.0,153.0,
3,61.0,165.0,
3,62.0,166.0,
4,1.0,1.0,
4,2.0,11.0,
4,3.0,5.0,
4,4.0,11.0,
4,5.0,11.0,
4,6.0,9.0,
4,7.0,19.0,
