InstanceID,h,opt
1,359.0,377.0,
2,385.0,437.0,
3,475.0,565.0,
4,573.0,695.0,
5,419.0,509.0,
6,436.0,460.0,
7,479.0,523.0,
8,378.0,470.0,
9,450.0,540.0,
10,610.0,794.0,
11,459.0,459.0,
12,430.0,798.0,
13,403.0,927.0,
14,482.0,590.0,
15,515.0,647.0,
16,404.0,494.0,
17,674.0,816.0,
18,465.0,465.0,
19,573.0,663.0,
20,499.0,607.0,
21,469.0,637.0,
22,670.0,852.0,
23,611.0,747.0,
24,457.0,601.0,
25,513.0,711.0,
26,364.0,806.0,
27,647.0,855.0,
28,657.0,835.0,
29,362.0,440.0,
30,439.0,453.0,
31,363.0,713.0,
32,362.0,698.0,
33,397.0,941.0,
34,401.0,491.0,
35,406.0,796.0,
36,388.0,958.0,
37,590.0,824.0,
38,384.0,386.0,
39,654.0,824.0,
40,416.0,448.0,
41,380.0,964.0,
42,429.0,617.0,
43,445.0,535.0,
44,384.0,656.0,
45,357.0,693.0,
46,423.0,523.0,
47,420.0,486.0,
48,429.0,707.0,
49,373.0,745.0,
50,573.0,701.0,
51,414.0,426.0,
52,405.0,933.0,
53,383.0,479.0,
54,371.0,701.0,
55,382.0,382.0,
56,632.0,740.0,
57,387.0,815.0,
58,536.0,638.0,
59,359.0,417.0,
60,480.0,722.0,
61,638.0,788.0,
62,386.0,456.0,
63,548.0,714.0,
64,441.0,447.0,
65,533.0,653.0,
66,361.0,733.0,
67,477.0,575.0,
68,404.0,760.0,
69,357.0,395.0,
70,537.0,829.0,
71,450.0,756.0,
72,758.0,864.0,
73,576.0,950.0,
74,438.0,526.0,
75,357.0,581.0,
76,507.0,549.0,
77,444.0,732.0,
78,494.0,602.0,
79,413.0,581.0,
80,355.0,463.0,
81,358.0,732.0,
82,582.0,684.0,
83,371.0,647.0,
84,376.0,500.0,
85,417.0,533.0,
86,392.0,546.0,
87,736.0,840.0,
88,356.0,402.0,
89,476.0,568.0,
90,584.0,690.0,
91,363.0,887.0,
92,438.0,826.0,
93,495.0,499.0,
94,376.0,558.0,
95,717.0,887.0,
96,453.0,487.0,
97,482.0,630.0,
98,430.0,560.0,
99,597.0,839.0,
100,353.0,809.0,
101,453.0,605.0,
102,399.0,435.0,
103,367.0,895.0,
104,447.0,461.0,
105,560.0,746.0,
106,355.0,851.0,
107,403.0,781.0,
108,435.0,801.0,
109,494.0,722.0,
110,443.0,779.0,
111,446.0,558.0,
112,354.0,422.0,
113,439.0,969.0,
114,438.0,490.0,
115,580.0,688.0,
116,467.0,655.0,
117,376.0,520.0,
118,484.0,578.0,
119,364.0,994.0,
120,414.0,746.0,
121,395.0,523.0,
122,436.0,598.0,
123,586.0,676.0,
124,437.0,545.0,
125,369.0,459.0,
126,435.0,779.0,
127,387.0,411.0,
128,438.0,450.0,
129,432.0,804.0,
130,432.0,558.0,
131,557.0,661.0,
132,500.0,640.0,
133,414.0,550.0,
134,638.0,844.0,
135,478.0,620.0,
136,419.0,841.0,
137,363.0,715.0,
138,430.0,454.0,
139,406.0,444.0,
140,465.0,607.0,
141,355.0,905.0,
142,429.0,579.0,
143,489.0,579.0,
144,380.0,480.0,
145,358.0,378.0,
146,459.0,479.0,
147,399.0,923.0,
148,501.0,649.0,
149,479.0,621.0,
150,448.0,786.0,
151,459.0,785.0,
152,354.0,354.0,
153,384.0,454.0,
154,365.0,365.0,
155,378.0,390.0,
156,353.0,461.0,
157,503.0,813.0,
158,484.0,556.0,
159,394.0,682.0,
160,375.0,569.0,
161,408.0,444.0,
162,381.0,573.0,
163,375.0,713.0,
164,392.0,416.0,
165,593.0,763.0,
166,429.0,597.0,
167,670.0,870.0,
168,538.0,670.0,
169,426.0,616.0,
170,445.0,973.0,
171,376.0,898.0,
172,426.0,456.0,
173,430.0,782.0,
174,368.0,458.0,
175,368.0,904.0,
176,357.0,949.0,
177,399.0,737.0,
178,533.0,623.0,
179,706.0,812.0,
180,489.0,587.0,
181,399.0,729.0,
182,413.0,413.0,
183,390.0,506.0,
184,368.0,436.0,
185,527.0,683.0,
186,380.0,506.0,
187,426.0,500.0,
188,380.0,394.0,
189,357.0,369.0,
190,400.0,544.0,
191,425.0,777.0,
192,409.0,501.0,
193,392.0,724.0,
194,685.0,835.0,
195,388.0,422.0,
196,635.0,899.0,
197,395.0,437.0,
198,421.0,513.0,
199,672.0,792.0,
200,451.0,465.0,
201,417.0,809.0,
202,601.0,735.0,
203,511.0,703.0,
204,420.0,1034.0,
205,411.0,539.0,
206,395.0,523.0,
207,398.0,868.0,
208,396.0,458.0,
209,465.0,573.0,
210,391.0,555.0,
211,486.0,576.0,
212,488.0,582.0,
213,530.0,620.0,
214,696.0,914.0,
215,787.0,949.0,
216,379.0,729.0,
217,448.0,972.0,
218,458.0,582.0,
219,577.0,697.0,
220,464.0,582.0,
221,575.0,697.0,
222,658.0,788.0,
223,448.0,556.0,
224,358.0,416.0,
225,358.0,358.0,
226,458.0,562.0,
227,446.0,464.0,
228,725.0,907.0,
229,545.0,573.0,
230,358.0,396.0,
231,412.0,802.0,
232,430.0,826.0,
233,522.0,678.0,
234,665.0,919.0,
235,384.0,734.0,
236,385.0,451.0,
237,380.0,772.0,
238,393.0,459.0,
239,448.0,530.0,
240,578.0,730.0,
241,545.0,651.0,
242,365.0,457.0,
243,476.0,508.0,
244,386.0,790.0,
245,506.0,528.0,
246,362.0,702.0,
247,377.0,745.0,
248,723.0,869.0,
249,653.0,829.0,
250,432.0,450.0,
251,718.0,856.0,
252,397.0,975.0,
253,466.0,502.0,
254,445.0,527.0,
255,488.0,578.0,
256,473.0,595.0,
257,388.0,488.0,
258,488.0,512.0,
259,519.0,621.0,
260,592.0,760.0,
261,516.0,566.0,
262,390.0,518.0,
263,392.0,480.0,
264,541.0,715.0,
265,419.0,769.0,
266,458.0,570.0,
267,569.0,657.0,
268,474.0,974.0,
269,389.0,629.0,
270,687.0,833.0,
271,421.0,529.0,
272,435.0,517.0,
273,431.0,555.0,
274,482.0,804.0,
275,545.0,545.0,
276,457.0,739.0,
277,447.0,573.0,
278,593.0,905.0,
279,634.0,852.0,
280,571.0,627.0,
281,394.0,408.0,
282,378.0,378.0,
283,659.0,789.0,
284,413.0,485.0,
285,461.0,487.0,
286,439.0,797.0,
287,435.0,515.0,
288,403.0,647.0,
289,357.0,447.0,
290,459.0,459.0,
291,362.0,382.0,
292,399.0,455.0,
293,468.0,994.0,
294,653.0,875.0,
295,355.0,547.0,
296,380.0,482.0,
297,430.0,834.0,
298,478.0,522.0,
299,531.0,635.0,
300,682.0,862.0,
301,603.0,773.0,
302,395.0,461.0,
303,382.0,954.0,
304,398.0,624.0,
305,416.0,422.0,
306,450.0,504.0,
307,389.0,485.0,
308,414.0,422.0,
309,471.0,595.0,
310,375.0,595.0,
311,586.0,1028.0,
312,452.0,536.0,
313,366.0,368.0,
314,716.0,916.0,
315,373.0,389.0,
316,732.0,888.0,
317,657.0,795.0,
318,585.0,705.0,
319,380.0,380.0,
320,505.0,609.0,
321,777.0,899.0,
322,531.0,1011.0,
323,373.0,447.0,
324,447.0,465.0,
325,408.0,738.0,
326,412.0,412.0,
327,454.0,640.0,
328,466.0,964.0,
329,582.0,686.0,
330,393.0,415.0,
331,470.0,514.0,
332,461.0,771.0,
333,511.0,695.0,
334,421.0,489.0,
335,426.0,978.0,
336,373.0,473.0,
337,707.0,957.0,
338,439.0,577.0,
339,653.0,829.0,
340,451.0,499.0,
341,366.0,574.0,
342,436.0,600.0,
343,459.0,589.0,
344,392.0,534.0,
345,636.0,744.0,
346,422.0,534.0,
347,496.0,626.0,
348,557.0,723.0,
349,498.0,608.0,
350,388.0,480.0,
351,411.0,533.0,
352,353.0,661.0,
353,404.0,432.0,
354,422.0,538.0,
355,382.0,420.0,
