InstanceID,h,opt
1,1.0,1.0,
1,2.0,2.0,
1,3.0,3.0,
1,4.0,4.0,
1,5.0,5.0,
1,6.0,6.0,
1,7.0,7.0,
1,8.0,40.0,
1,9.0,39.0,
1,10.0,38.0,
1,11.0,39.0,
1,12.0,38.0,
1,13.0,39.0,
1,14.0,40.0,
1,15.0,41.0,
1,16.0,44.0,
1,17.0,45.0,
1,18.0,46.0,
1,19.0,47.0,
1,20.0,48.0,
1,21.0,49.0,
1,22.0,50.0,
1,23.0,51.0,
1,24.0,52.0,
1,25.0,53.0,
1,26.0,54.0,
1,27.0,55.0,
1,28.0,56.0,
1,29.0,57.0,
1,30.0,58.0,
1,31.0,59.0,
1,32.0,58.0,
1,33.0,57.0,
1,34.0,56.0,
1,35.0,55.0,
1,36.0,54.0,
1,37.0,53.0,
1,38.0,52.0,
1,39.0,51.0,
1,40.0,50.0,
1,41.0,49.0,
1,42.0,48.0,
1,43.0,47.0,
1,44.0,46.0,
1,45.0,45.0,
1,46.0,46.0,
1,47.0,47.0,
1,48.0,48.0,
1,49.0,49.0,
1,50.0,50.0,
1,51.0,51.0,
1,52.0,52.0,
1,53.0,53.0,
1,54.0,54.0,
1,55.0,55.0,
1,56.0,56.0,
1,57.0,57.0,
1,58.0,58.0,
1,59.0,59.0,
1,60.0,60.0,
1,61.0,61.0,
1,62.0,62.0,
1,63.0,63.0,
1,64.0,64.0,
1,65.0,65.0,
1,66.0,66.0,
1,67.0,67.0,
1,68.0,68.0,
1,69.0,69.0,
1,70.0,70.0,
1,71.0,71.0,
1,72.0,72.0,
1,73.0,73.0,
1,74.0,74.0,
1,75.0,75.0,
1,76.0,76.0,
1,77.0,77.0,
1,78.0,78.0,
1,79.0,79.0,
1,80.0,80.0,
1,81.0,83.0,
1,82.0,82.0,
1,83.0,83.0,
1,84.0,84.0,
1,85.0,85.0,
1,86.0,90.0,
1,87.0,91.0,
1,88.0,90.0,
1,89.0,91.0,
1,90.0,92.0,
1,91.0,103.0,
1,92.0,102.0,
1,93.0,101.0,
1,94.0,100.0,
1,95.0,99.0,
1,96.0,98.0,
1,97.0,97.0,
1,98.0,98.0,
1,99.0,99.0,
1,100.0,100.0,
1,101.0,101.0,
1,102.0,102.0,
1,103.0,103.0,
1,104.0,104.0,
1,105.0,105.0,
1,106.0,106.0,
1,107.0,107.0,
1,108.0,108.0,
1,109.0,109.0,
1,110.0,110.0,
1,111.0,111.0,
1,112.0,112.0,
1,113.0,115.0,
1,114.0,116.0,
1,115.0,117.0,
1,116.0,118.0,
1,117.0,119.0,
1,118.0,120.0,
1,119.0,121.0,
1,120.0,122.0,
1,121.0,123.0,
1,122.0,124.0,
1,123.0,125.0,
1,124.0,124.0,
1,125.0,125.0,
1,126.0,126.0,
1,127.0,127.0,
1,128.0,128.0,
1,129.0,131.0,
1,130.0,132.0,
1,131.0,133.0,
1,132.0,134.0,
1,133.0,133.0,
1,134.0,134.0,
1,135.0,135.0,
1,136.0,136.0,
1,137.0,137.0,
1,138.0,138.0,
1,139.0,139.0,
1,140.0,140.0,
1,141.0,141.0,
1,142.0,142.0,
1,143.0,149.0,
1,144.0,150.0,
1,145.0,149.0,
1,146.0,154.0,
1,147.0,155.0,
1,148.0,156.0,
1,149.0,157.0,
1,150.0,158.0,
1,151.0,159.0,
1,152.0,160.0,
1,153.0,161.0,
1,154.0,162.0,
1,155.0,163.0,
1,156.0,164.0,
1,157.0,163.0,
1,158.0,164.0,
1,159.0,165.0,
1,160.0,166.0,
