generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
13988.0,5274.0,3397.0,609.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
22264.0,8025.0,7301.0,549.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
56839.0,20438.0,16964.0,503.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
1096.0,397.0,359.0,489.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
317.0,113.0,71.0,483.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
3797.0,1421.0,1140.0,473.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
210.0,76.0,58.0,469.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
148.0,54.0,22.0,467.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
1910.0,690.0,559.0,463.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
739606.0,265563.0,253257.0,706.0,0.0,390.0,2.0,390.0,2.0,390.0,1.5,true
41252.0,14764.0,10825.0,626.0,0.0,390.0,2.0,390.0,2.0,390.0,1.5,true
18437.0,6547.0,5377.0,596.0,0.0,390.0,2.0,390.0,2.0,390.0,1.5,true
1595.0,593.0,335.0,586.0,0.0,390.0,2.0,390.0,2.0,390.0,1.5,true
3519.0,1291.0,952.0,578.0,0.0,390.0,2.0,390.0,2.0,390.0,1.5,true
1937.0,722.0,523.0,574.0,0.0,390.0,2.0,390.0,2.0,390.0,1.5,true
112002.0,40535.0,27944.0,908.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
44433.0,15883.0,11521.0,816.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
14634.0,5222.0,4283.0,788.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
1614.0,564.0,194.0,786.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
3571.0,1306.0,1253.0,780.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
1350.0,465.0,317.0,778.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
731.0,253.0,147.0,776.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
7355.0,2568.0,1522.0,774.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
662.0,230.0,242.0,772.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
9950.0,3459.0,2358.0,770.0,0.0,364.0,2.0,364.0,2.0,364.0,1.5,true
9457.0,3588.0,1063.0,554.0,0.0,406.0,2.0,406.0,2.0,406.0,1.5,true
39577.0,14142.0,12796.0,476.0,0.0,406.0,2.0,406.0,2.0,406.0,1.5,true
26437.0,9370.0,8215.0,448.0,0.0,406.0,2.0,406.0,2.0,406.0,1.5,true
4498.0,1624.0,697.0,442.0,0.0,406.0,2.0,406.0,2.0,406.0,1.5,true
2483.0,918.0,580.0,438.0,0.0,406.0,2.0,406.0,2.0,406.0,1.5,true
35580.0,13098.0,9309.0,1016.0,0.0,662.0,2.0,662.0,2.0,662.0,1.5,true
368343.0,131874.0,114391.0,926.0,0.0,662.0,2.0,662.0,2.0,662.0,1.5,true
7610.0,2810.0,1823.0,896.0,0.0,662.0,2.0,662.0,2.0,662.0,1.5,true
3161.0,1191.0,980.0,882.0,0.0,662.0,2.0,662.0,2.0,662.0,1.5,true
166.0,58.0,49.0,880.0,0.0,662.0,2.0,662.0,2.0,662.0,1.5,true
2321.0,882.0,653.0,872.0,0.0,662.0,2.0,662.0,2.0,662.0,1.5,true
19824.0,7257.0,5309.0,609.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
55674.0,19600.0,17123.0,523.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
6622.0,2331.0,1539.0,503.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
16867.0,5970.0,4306.0,497.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
7292.0,2601.0,2216.0,495.0,0.0,373.0,2.0,373.0,2.0,373.0,1.5,true
21409.0,7891.0,5419.0,880.0,0.0,566.0,2.0,566.0,2.0,566.0,1.5,true
239352.0,85825.0,78309.0,714.0,0.0,566.0,2.0,566.0,2.0,566.0,1.5,true
169.0,61.0,42.0,704.0,0.0,566.0,2.0,566.0,2.0,566.0,1.5,true
52649.0,18694.0,15547.0,668.0,0.0,566.0,2.0,566.0,2.0,566.0,1.5,true
107.0,39.0,32.0,664.0,0.0,566.0,2.0,566.0,2.0,566.0,1.5,true
4706.0,1717.0,844.0,656.0,0.0,566.0,2.0,566.0,2.0,566.0,1.5,true
