generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
18856.0,6405.0,3063.0,734.0,0.0,672.0,2.0,672.0,2.0,672.0,1.2,true
17192.0,5803.0,1033.0,676.0,0.0,672.0,2.0,672.0,2.0,672.0,1.2,true
382.0,130.0,108.0,674.0,0.0,672.0,2.0,672.0,2.0,672.0,1.2,true
68273.0,23080.0,15410.0,699.0,0.0,487.0,2.0,487.0,2.0,487.0,1.2,false
25242.0,8523.0,2630.0,561.0,0.0,487.0,2.0,487.0,2.0,487.0,1.2,true
71.0,25.0,18.0,559.0,0.0,487.0,2.0,487.0,2.0,487.0,1.2,true
22523.0,7615.0,1469.0,555.0,0.0,487.0,2.0,487.0,2.0,487.0,1.2,true
5970.0,2027.0,407.0,551.0,0.0,487.0,2.0,487.0,2.0,487.0,1.2,true
10873.0,3672.0,1896.0,616.0,0.0,581.0,2.0,581.0,2.0,581.0,1.2,true
14712.0,4985.0,552.0,614.0,0.0,581.0,2.0,581.0,2.0,581.0,1.2,true
95798.0,32502.0,25654.0,724.0,0.0,582.0,2.0,582.0,2.0,582.0,1.2,true
48299.0,16324.0,8279.0,632.0,0.0,582.0,2.0,582.0,2.0,582.0,1.2,true
23592.0,7981.0,1674.0,616.0,0.0,582.0,2.0,582.0,2.0,582.0,1.2,true
216.0,77.0,45.0,612.0,0.0,582.0,2.0,582.0,2.0,582.0,1.2,true
