hRange, Ratio, Pr(Ratio)<=
3.0,1.0,1.0
4.0,1.0,0.8
4.0,1.6666666666666667,0.9
4.0,2.3333333333333335,0.92
4.0,3.0,0.9400000000000001
4.0,3.6666666666666665,0.9800000000000001
4.0,7.666666666666667,1.0
5.0,1.0,0.58
5.0,1.5,0.76
5.0,2.0,0.84
5.0,2.5,0.88
5.0,3.0,0.94
5.0,4.0,0.96
5.0,5.5,0.98
5.0,7.5,1.0
7.0,1.0,0.42
7.0,1.4,0.6
7.0,1.8,0.6799999999999999
7.0,2.2,0.7599999999999999
7.0,2.6,0.7799999999999999
7.0,3.0,0.82
7.0,3.4,0.86
7.0,3.8,0.88
7.0,4.6,0.9
7.0,5.8,0.9400000000000001
7.0,9.0,0.9600000000000001
7.0,12.6,0.9800000000000001
7.0,15.0,1.0
10.0,1.0,0.35
10.0,1.2857142857142858,0.42
10.0,1.3333333333333333,0.53
10.0,1.5714285714285714,0.56
10.0,1.6666666666666667,0.5800000000000001
10.0,1.8571428571428572,0.6500000000000001
10.0,2.0,0.6800000000000002
10.0,2.142857142857143,0.7000000000000002
10.0,2.3333333333333335,0.7500000000000002
10.0,2.4285714285714284,0.7800000000000002
10.0,2.6666666666666665,0.7900000000000003
10.0,2.7142857142857144,0.8000000000000003
10.0,3.0,0.8200000000000003
10.0,3.5714285714285716,0.8300000000000003
10.0,3.6666666666666665,0.8400000000000003
10.0,3.857142857142857,0.8600000000000003
10.0,4.142857142857143,0.8700000000000003
10.0,4.333333333333333,0.8800000000000003
10.0,4.428571428571429,0.8900000000000003
10.0,4.666666666666667,0.9100000000000004
10.0,5.0,0.9300000000000004
10.0,5.571428571428571,0.9400000000000004
10.0,6.142857142857143,0.9500000000000004
10.0,7.333333333333333,0.9600000000000004
10.0,8.714285714285714,0.9700000000000004
10.0,10.333333333333334,0.9800000000000004
10.0,10.428571428571429,0.9900000000000004
10.0,12.333333333333334,1.0
18.0,1.0,0.21333333333333335
18.0,1.2,0.28
18.0,1.2222222222222223,0.3533333333333334
18.0,1.25,0.4133333333333334
18.0,1.4,0.45333333333333337
18.0,1.4444444444444444,0.48000000000000004
18.0,1.5,0.5066666666666667
18.0,1.6,0.5333333333333333
18.0,1.6666666666666667,0.58
18.0,1.75,0.6133333333333333
18.0,1.8,0.6333333333333333
18.0,1.8888888888888888,0.6599999999999999
18.0,2.0,0.72
18.0,2.111111111111111,0.7333333333333333
18.0,2.2,0.7466666666666666
18.0,2.25,0.7533333333333333
18.0,2.3333333333333335,0.7666666666666666
18.0,2.4,0.7799999999999999
18.0,2.5,0.7866666666666666
18.0,2.5555555555555554,0.7933333333333333
18.0,2.6,0.8133333333333334
18.0,2.7777777777777777,0.8266666666666667
18.0,2.8,0.8333333333333334
18.0,3.0,0.8466666666666667
18.0,3.2,0.8533333333333334
18.0,3.2222222222222223,0.8600000000000001
18.0,3.25,0.8733333333333334
18.0,3.5,0.8800000000000001
18.0,3.6,0.8866666666666668
18.0,3.6666666666666665,0.8933333333333335
18.0,3.75,0.9000000000000002
18.0,4.0,0.906666666666667
18.0,4.111111111111111,0.9133333333333337
18.0,4.2,0.9200000000000004
18.0,4.25,0.9266666666666671
18.0,4.75,0.9333333333333338
18.0,4.777777777777778,0.9466666666666671
18.0,5.0,0.9533333333333338
18.0,5.25,0.9600000000000005
18.0,5.8,0.9666666666666672
18.0,6.555555555555555,0.9733333333333339
18.0,6.8,0.9800000000000006
18.0,7.5,0.9866666666666674
18.0,7.666666666666667,0.9933333333333341
18.0,8.75,1.0
31.0,1.0,0.09
