generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,w,is-W-opt
2665.0,71.0,0.0,49.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2123.0,56.0,0.0,46.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1028.0,28.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1017.0,27.0,1.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
7439.0,196.0,23.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
17265.0,455.0,1.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
15248.0,402.0,0.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2591.0,69.0,0.0,52.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
864.0,23.0,0.0,49.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
3262.0,86.0,0.0,47.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1814.0,48.0,1.0,45.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
3816.0,101.0,0.0,44.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2796.0,74.0,1.0,42.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
2719.0,72.0,1.0,41.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
27951.0,736.0,2.0,40.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
19667.0,518.0,6.0,39.0,0.0,38.0,2.0,38.0,2.0,38.0,1.5,true
1833.0,49.0,0.0,44.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
174.0,5.0,0.0,43.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
20534.0,541.0,0.0,42.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
34437.0,907.0,1.0,41.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
72936.0,1920.0,22.0,40.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
28722.0,756.0,2.0,39.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
606132.0,15951.0,13.0,38.0,0.0,37.0,2.0,37.0,2.0,37.0,1.5,true
1833.0,49.0,0.0,45.0,0.0,36.0,2.0,36.0,2.0,36.0,1.5,true
