InstanceID,Found,Depth,Cost,Iterations,Generated,Expanded,Cpu Time,Wall Time,delta,epsilon,pacCondition,Domain
51,1,22,77.0,2,52464,9773,265,284,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
52,1,17,56.0,3,2924,536,15,20,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
53,1,24,73.0,4,24458,4596,78,70,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
54,1,23,74.0,8,50099,9245,265,282,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
55,1,23,69.0,5,38103,7014,93,98,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
56,1,23,77.0,5,24699,4595,78,90,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
57,1,32,95.0,5,622350,115758,1560,1602,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
58,1,13,57.0,3,2075,390,15,27,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
59,1,23,84.0,3,64239,11886,234,234,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
60,1,27,84.0,3,54223,10033,156,159,0.0,0.1,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,DockyardRobot,
