domain,instance,index,generated,expanded,reopened,cost,length,initial-H,is-W-opt
VacuumRobot,1,1,4474,2656,648,846.0,846,465.0,false
VacuumRobot,1,2,440,255,15,704.0,704,465.0,false
VacuumRobot,1,3,12841,7617,4775,630.0,630,465.0,false
VacuumRobot,1,4,3323,1967,1862,624.0,624,465.0,false
VacuumRobot,1,5,5453,3248,1258,618.0,618,465.0,false
VacuumRobot,1,6,2684,1572,501,614.0,614,465.0,false
VacuumRobot,2,1,8846,5247,2082,871.0,871,525.0,false
VacuumRobot,2,2,17376,10316,7692,797.0,797,525.0,false
VacuumRobot,2,3,24129,14342,13283,753.0,753,525.0,false
VacuumRobot,2,4,294,168,36,743.0,743,525.0,false
VacuumRobot,2,5,58241,34527,8125,740.0,740,525.0,false
VacuumRobot,2,6,42331,25245,4480,738.0,738,525.0,false
VacuumRobot,2,7,91217,54529,1196,737.0,737,525.0,false
VacuumRobot,3,1,13149,7770,3199,810.0,810,397.0,false
VacuumRobot,3,2,7664,4490,2653,716.0,716,397.0,false
VacuumRobot,3,3,7209,4271,1784,700.0,700,397.0,false
VacuumRobot,3,4,31292,18541,12227,672.0,672,397.0,false
VacuumRobot,3,5,984,581,230,664.0,664,397.0,false
VacuumRobot,3,6,9691,5711,1624,658.0,658,397.0,false
VacuumRobot,3,7,120622,71980,5631,657.0,657,397.0,false
VacuumRobot,3,8,18857,11297,2,655.0,655,397.0,false
VacuumRobot,4,1,2348,1377,210,521.0,521,337.0,false
VacuumRobot,4,2,7404,4323,2486,483.0,483,337.0,false
VacuumRobot,4,3,12063,7127,1868,477.0,477,337.0,false
VacuumRobot,5,1,4745,2828,394,891.0,891,450.0,false
VacuumRobot,5,2,15517,9222,7059,765.0,765,450.0,false
VacuumRobot,5,3,25961,15299,11754,725.0,725,450.0,false
VacuumRobot,5,4,71111,42093,34022,707.0,707,450.0,false
VacuumRobot,5,5,54973,32873,20427,691.0,691,450.0,false
VacuumRobot,5,6,113330,67785,7712,689.0,689,450.0,false
VacuumRobot,6,1,3132,1835,242,706.0,706,474.0,false
VacuumRobot,6,2,99,58,15,692.0,692,474.0,false
VacuumRobot,6,3,10112,5890,2638,634.0,634,474.0,false
VacuumRobot,6,4,20749,12408,2372,624.0,624,474.0,false
VacuumRobot,7,1,4391,2605,534,708.0,708,367.0,false
VacuumRobot,7,2,12869,7507,4495,616.0,616,367.0,false
VacuumRobot,7,3,13524,7729,6290,604.0,604,367.0,false
VacuumRobot,7,4,11764,6818,6513,592.0,592,367.0,false
VacuumRobot,7,5,59197,35214,8975,588.0,588,367.0,false
VacuumRobot,8,1,16299,9695,4178,895.0,895,392.0,false
VacuumRobot,8,2,5219,3040,2283,637.0,637,392.0,false
VacuumRobot,8,3,2500,1397,840,611.0,611,392.0,false
VacuumRobot,8,4,18147,10497,8202,585.0,585,392.0,false
VacuumRobot,8,5,11620,6900,2794,577.0,577,392.0,false
VacuumRobot,9,1,3312,1922,334,740.0,740,458.0,false
VacuumRobot,9,2,3222,1830,1390,714.0,714,458.0,false
VacuumRobot,9,3,15133,8841,4651,638.0,638,458.0,false
VacuumRobot,9,4,5089,2910,2611,624.0,624,458.0,false
VacuumRobot,9,5,3422,2002,1402,620.0,620,458.0,false
VacuumRobot,9,6,8018,4712,1883,618.0,618,458.0,false
VacuumRobot,10,1,30941,18548,11367,833.0,833,342.0,false
VacuumRobot,10,2,45337,26843,19695,585.0,585,342.0,false
VacuumRobot,10,3,10063,5912,3253,569.0,569,342.0,false
VacuumRobot,11,1,2029,1191,172,508.0,508,327.0,false
VacuumRobot,11,2,3757,2219,1511,482.0,482,327.0,false
VacuumRobot,11,3,13984,8165,3710,458.0,458,327.0,false
