InstanceID,Found,Depth,Cost,Iterations,Generated,Expanded,Cpu Time,Wall Time,anytimeSearch,delta,epsilon,pacCondition
51,1,871,871.0,5,457851,163867,421,513,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
52,1,995,995.0,6,1203633,431439,578,761,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
53,1,805,805.0,4,1386571,493077,437,432,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
54,1,406,406.0,7,71930,25480,31,31,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
55,1,400,400.0,17,66897,24209,46,37,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
56,1,527,527.0,3,54981,19624,31,32,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
57,1,784,784.0,5,648381,231070,250,253,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
58,1,571,571.0,5,271865,98496,109,116,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
59,1,604,604.0,5,160072,57173,46,53,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
60,1,491,491.0,4,277901,98531,78,80,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
61,1,656,656.0,5,480766,171798,125,131,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
62,1,368,368.0,5,21614,7893,0,0,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
63,1,452,452.0,5,114834,40917,62,53,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
64,1,512,512.0,3,50386,18004,15,16,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
65,1,506,506.0,3,31664,11432,15,16,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
66,1,582,582.0,10,1555324,559107,406,415,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
67,1,601,601.0,5,292706,103903,93,84,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
68,1,513,513.0,3,28469,10154,31,31,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
69,1,551,551.0,6,165656,59186,46,49,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
70,1,412,412.0,4,14093,5302,15,16,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
71,1,667,667.0,8,416926,149701,171,168,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
72,1,574,574.0,3,249484,88574,78,79,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
73,1,712,712.0,5,340821,121938,93,100,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
74,1,513,513.0,5,114528,41737,46,38,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
75,1,518,518.0,4,33494,12087,15,16,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
76,1,798,798.0,7,854704,306401,250,247,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
77,1,717,717.0,7,480125,171739,125,130,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
78,1,442,442.0,5,145175,52028,31,31,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
79,1,627,627.0,4,503078,180107,140,146,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
80,1,580,580.0,5,425817,152344,125,116,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
81,1,515,515.0,6,299770,108017,78,100,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
82,1,618,618.0,5,338421,121293,93,100,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
83,1,811,811.0,7,522222,187898,156,157,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
84,1,565,565.0,6,166768,59543,31,37,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
85,1,895,895.0,5,284830,102553,78,69,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
86,1,642,642.0,7,402472,144147,171,178,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
87,1,525,525.0,7,144238,51751,62,55,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
88,1,709,709.0,6,594054,213012,187,199,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
89,1,640,640.0,5,315171,113160,93,100,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
90,1,525,525.0,4,266006,94730,93,100,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
91,1,487,487.0,8,106277,37909,46,38,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
92,1,456,456.0,4,46012,16539,15,16,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
93,1,697,697.0,5,164912,58958,62,62,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
94,1,734,734.0,6,455835,164184,109,122,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
95,1,588,588.0,3,78419,27954,31,32,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
96,1,457,457.0,3,68116,24204,15,31,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
97,1,386,386.0,3,51691,18587,31,21,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
98,1,693,693.0,4,401312,143836,171,201,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
99,1,483,483.0,4,95633,33954,31,57,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
100,1,473,473.0,7,200536,71380,62,59,AnytimePTS4PAC,0.0,0.0,TrivialPACCondition,
51,1,871,871.0,5,457851,163867,140,200,AnytimePTS4PAC,0.1,0.0,TrivialPACCondition,
