InstanceID,Found,Depth,Cost,Iterations,Generated,Expanded,Cpu Time,Wall Time,delta,epsilon,pacCondition
51,1,455,455.0,4,90870,54065,437,674,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
52,1,630,630.0,8,100893,59463,390,434,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
53,1,554,554.0,7,67872,40943,343,362,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
54,1,618,618.0,7,153799,90979,500,546,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
55,1,624,624.0,7,205707,121576,640,689,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
56,1,286,286.0,3,30834,18331,62,66,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
57,1,506,506.0,7,79085,46230,187,206,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
58,1,713,713.0,8,231261,138206,484,509,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
59,1,541,541.0,6,93612,54081,171,181,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
60,1,466,466.0,8,82931,49055,171,186,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
61,1,631,631.0,4,224537,133385,500,512,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
62,1,605,605.0,6,89191,52979,203,200,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
63,1,683,683.0,7,265030,156879,531,545,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
64,1,455,455.0,7,41757,24563,62,78,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
65,1,502,502.0,4,65373,38841,140,134,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
66,1,440,440.0,4,90797,53816,171,174,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
67,1,451,451.0,6,77813,45765,109,117,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
68,1,620,620.0,7,182893,108509,328,348,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
69,1,439,439.0,7,62989,36896,109,111,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
70,1,534,534.0,9,69634,41086,125,129,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
71,1,568,568.0,6,59582,34850,109,125,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
72,1,483,483.0,4,59471,34881,109,101,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
73,1,552,552.0,4,88392,52642,171,184,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
74,1,597,597.0,8,64330,38203,125,135,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
75,1,614,614.0,8,396369,235221,593,666,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
76,1,441,441.0,6,94111,54371,156,156,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
77,1,459,459.0,5,36187,21193,78,88,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
78,1,646,646.0,5,144690,85702,312,312,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
79,1,626,626.0,5,262113,155490,546,576,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
80,1,506,506.0,5,89117,52572,203,192,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
81,1,697,697.0,7,143139,84927,343,348,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
82,1,576,576.0,7,103362,61255,234,243,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
83,1,509,509.0,8,38203,22524,78,79,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
84,1,804,804.0,5,233230,138478,484,473,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
85,1,738,738.0,6,387339,228003,796,805,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
86,1,631,631.0,6,124250,74033,265,261,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
87,1,595,595.0,7,137680,81679,281,311,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
88,1,511,511.0,4,86053,50672,171,180,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
89,1,518,518.0,11,78552,45980,156,153,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
90,1,760,760.0,9,302051,178880,484,485,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
91,1,629,629.0,5,231953,137350,437,430,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
92,1,523,523.0,4,60117,35963,125,125,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
93,1,469,469.0,7,96542,57180,187,182,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
94,1,614,614.0,5,143684,84266,265,272,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
95,1,807,807.0,14,479133,285555,812,828,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
96,1,610,610.0,4,110314,64419,250,248,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
97,1,452,452.0,7,54358,31490,109,96,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
98,1,728,728.0,6,236569,141354,484,501,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
99,1,636,636.0,8,783905,463290,1328,1380,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
100,1,748,748.0,5,120534,71964,203,209,0.2,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
51,1,455,455.0,4,90870,54065,187,182,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
52,1,630,630.0,8,100893,59463,187,191,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
53,1,554,554.0,7,67872,40943,140,143,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
54,1,618,618.0,7,153799,90979,328,339,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
55,1,624,624.0,7,205707,121576,437,449,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
56,1,286,286.0,3,30834,18331,62,61,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
57,1,506,506.0,7,79085,46230,171,173,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
58,1,713,713.0,8,231261,138206,453,486,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
59,1,541,541.0,6,93612,54081,171,175,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
60,1,466,466.0,8,82931,49055,171,182,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
61,1,631,631.0,4,224537,133385,484,485,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
62,1,605,605.0,6,89191,52979,171,176,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
63,1,683,683.0,7,265030,156879,531,548,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
64,1,455,455.0,7,41757,24563,78,79,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
65,1,502,502.0,4,65373,38841,140,138,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
66,1,440,440.0,4,90797,53816,203,205,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
67,1,451,451.0,6,77813,45765,109,113,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
68,1,620,620.0,7,182893,108509,328,338,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
69,1,439,439.0,7,62989,36896,109,110,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
70,1,534,534.0,9,69634,41086,140,128,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
71,1,568,568.0,6,59582,34850,109,116,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
72,1,483,483.0,4,59471,34881,109,111,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
73,1,552,552.0,4,88392,52642,171,187,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
74,1,597,597.0,8,64330,38203,125,132,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
75,1,614,614.0,8,396369,235221,609,606,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
76,1,441,441.0,6,94111,54371,156,160,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
77,1,459,459.0,5,36187,21193,93,112,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
78,1,646,646.0,5,144690,85702,328,327,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
79,1,626,626.0,5,262113,155490,515,541,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
80,1,506,506.0,5,89117,52572,187,178,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
81,1,697,697.0,7,143139,84927,343,356,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
82,1,576,576.0,7,103362,61255,234,229,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
83,1,509,509.0,8,38203,22524,78,85,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
84,1,804,804.0,5,233230,138478,468,464,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
85,1,738,738.0,6,387339,228003,765,802,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
86,1,631,631.0,6,124250,74033,250,252,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
87,1,595,595.0,7,137680,81679,281,278,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
88,1,511,511.0,4,86053,50672,171,178,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
89,1,518,518.0,11,78552,45980,171,183,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
90,1,760,760.0,9,302051,178880,531,536,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
91,1,629,629.0,5,231953,137350,437,446,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
92,1,523,523.0,4,60117,35963,125,123,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
93,1,469,469.0,7,96542,57180,171,180,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
94,1,614,614.0,5,143684,84266,265,258,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
95,1,807,807.0,14,479133,285555,812,839,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
96,1,610,610.0,4,110314,64419,234,238,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
97,1,452,452.0,7,54358,31490,93,94,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
98,1,728,728.0,6,236569,141354,484,477,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
99,1,636,636.0,8,783905,463290,1312,1320,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
100,1,748,748.0,5,120534,71964,203,209,0.5,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
51,1,455,455.0,4,90870,54065,187,184,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
52,1,630,630.0,8,100893,59463,187,190,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
53,1,554,554.0,7,67872,40943,156,151,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
54,1,618,618.0,7,153799,90979,328,354,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
55,1,624,624.0,7,205707,121576,421,431,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
56,1,286,286.0,3,30834,18331,46,57,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
57,1,506,506.0,7,79085,46230,156,151,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
58,1,713,713.0,8,231261,138206,437,450,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
59,1,541,541.0,6,93612,54081,187,186,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
60,1,466,466.0,8,82931,49055,171,176,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
61,1,631,631.0,4,224537,133385,484,496,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
62,1,605,605.0,6,89191,52979,171,175,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
63,1,683,683.0,7,265030,156879,484,505,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
64,1,455,455.0,7,41757,24563,78,68,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
65,1,502,502.0,4,65373,38841,125,119,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
66,1,440,440.0,4,90797,53816,171,178,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
67,1,451,451.0,6,77813,45765,125,118,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
68,1,620,620.0,7,182893,108509,343,346,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
69,1,439,439.0,7,62989,36896,93,107,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
70,1,534,534.0,9,69634,41086,125,127,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
71,1,568,568.0,6,59582,34850,109,111,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
72,1,483,483.0,4,59471,34881,109,104,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
73,1,552,552.0,4,88392,52642,156,168,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
74,1,597,597.0,8,64330,38203,125,125,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
75,1,614,614.0,8,396369,235221,593,598,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
76,1,441,441.0,6,94111,54371,156,156,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
77,1,459,459.0,5,36187,21193,62,65,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
78,1,646,646.0,5,144690,85702,296,289,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
79,1,626,626.0,5,262113,155490,546,553,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
80,1,506,506.0,5,89117,52572,156,163,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
81,1,697,697.0,7,143139,84927,312,326,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
82,1,576,576.0,7,103362,61255,218,224,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
83,1,509,509.0,8,38203,22524,62,68,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
84,1,804,804.0,5,233230,138478,453,447,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
85,1,738,738.0,6,387339,228003,828,817,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
86,1,631,631.0,6,124250,74033,234,261,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
87,1,595,595.0,7,137680,81679,281,276,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
88,1,511,511.0,4,86053,50672,187,193,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
89,1,518,518.0,11,78552,45980,140,148,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
90,1,760,760.0,9,302051,178880,468,469,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
91,1,629,629.0,5,231953,137350,421,429,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
92,1,523,523.0,4,60117,35963,125,121,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
93,1,469,469.0,7,96542,57180,171,179,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
94,1,614,614.0,5,143684,84266,250,253,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
95,1,807,807.0,14,479133,285555,828,820,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
96,1,610,610.0,4,110314,64419,234,235,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
97,1,452,452.0,7,54358,31490,93,96,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
98,1,728,728.0,6,236569,141354,453,492,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
99,1,636,636.0,8,783905,463290,1296,1324,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
100,1,748,748.0,5,120534,71964,218,210,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
51,1,455,455.0,4,90870,54065,187,185,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
52,1,630,630.0,8,100893,59463,203,208,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
53,1,554,554.0,7,67872,40943,140,142,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
54,1,618,618.0,7,153799,90979,343,380,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
55,1,624,624.0,7,205707,121576,468,473,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
56,1,286,286.0,3,30834,18331,62,57,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
57,1,506,506.0,7,79085,46230,171,161,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
58,1,713,713.0,8,231261,138206,421,443,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
59,1,541,541.0,6,93612,54081,187,188,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
