domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,1,1,4474.0,2656.0,648.0,846.0,846.0,465.0,1.0,466.0,2.0,465.0,614.0,0.5,false
VacuumRobot,1,2,440.0,255.0,15.0,704.0,704.0,125.0,540.0,124.0,537.0,127.0,614.0,0.5,false
VacuumRobot,1,3,12841.0,7617.0,4775.0,630.0,630.0,328.0,242.0,327.0,243.0,326.0,614.0,0.5,false
VacuumRobot,1,4,3323.0,1967.0,1862.0,624.0,624.0,41.0,578.0,40.0,579.0,39.0,614.0,0.5,false
VacuumRobot,1,5,5453.0,3248.0,1258.0,618.0,618.0,491.0,29.0,492.0,63.0,464.0,614.0,0.5,false
VacuumRobot,1,6,2684.0,1572.0,501.0,614.0,614.0,470.0,85.0,470.0,100.0,457.0,614.0,0.5,false
VacuumRobot,2,1,8846.0,5247.0,2082.0,871.0,871.0,525.0,1.0,524.0,2.0,523.0,737.0,0.5,false
VacuumRobot,2,2,17376.0,10316.0,7692.0,797.0,797.0,19.0,835.0,18.0,836.0,17.0,737.0,0.5,false
VacuumRobot,2,3,24129.0,14342.0,13283.0,753.0,753.0,478.0,70.0,475.0,64.0,479.0,737.0,0.5,false
VacuumRobot,2,4,294.0,168.0,36.0,743.0,743.0,20.0,717.0,20.0,739.0,8.0,737.0,0.5,false
VacuumRobot,2,5,58241.0,34527.0,8125.0,740.0,740.0,246.0,385.0,242.0,391.0,238.0,737.0,0.5,false
VacuumRobot,2,6,42331.0,25245.0,4480.0,738.0,738.0,171.0,512.0,170.0,513.0,169.0,737.0,0.5,false
VacuumRobot,2,7,91217.0,54529.0,1196.0,737.0,737.0,526.0,190.0,462.0,190.0,462.0,737.0,0.5,false
VacuumRobot,3,1,13149.0,7770.0,3199.0,810.0,810.0,397.0,1.0,396.0,2.0,395.0,655.0,0.5,false
VacuumRobot,3,2,7664.0,4490.0,2653.0,716.0,716.0,188.0,417.0,189.0,420.0,188.0,655.0,0.5,false
VacuumRobot,3,3,7209.0,4271.0,1784.0,700.0,700.0,45.0,640.0,44.0,641.0,43.0,655.0,0.5,false
VacuumRobot,3,4,31292.0,18541.0,12227.0,672.0,672.0,418.0,49.0,418.0,49.0,418.0,655.0,0.5,false
VacuumRobot,3,5,984.0,581.0,230.0,664.0,664.0,107.0,511.0,105.0,512.0,104.0,655.0,0.5,false
VacuumRobot,3,6,9691.0,5711.0,1624.0,658.0,658.0,307.0,236.0,306.0,237.0,305.0,655.0,0.5,false
VacuumRobot,3,7,120622.0,71980.0,5631.0,657.0,657.0,423.0,100.0,423.0,104.0,420.0,655.0,0.5,false
VacuumRobot,3,8,18857.0,11297.0,2.0,655.0,655.0,448.0,177.0,449.0,177.0,449.0,655.0,0.5,false
VacuumRobot,4,1,2348.0,1377.0,210.0,521.0,521.0,337.0,1.0,336.0,2.0,335.0,477.0,0.5,false
VacuumRobot,4,2,7404.0,4323.0,2486.0,483.0,483.0,142.0,302.0,141.0,300.0,143.0,477.0,0.5,false
VacuumRobot,4,3,12063.0,7127.0,1868.0,477.0,477.0,119.0,313.0,118.0,314.0,117.0,477.0,0.5,false
VacuumRobot,5,1,4745.0,2828.0,394.0,891.0,891.0,450.0,1.0,449.0,2.0,448.0,689.0,0.5,false
VacuumRobot,5,2,15517.0,9222.0,7059.0,765.0,765.0,351.0,141.0,350.0,139.0,352.0,689.0,0.5,false
VacuumRobot,5,3,25961.0,15299.0,11754.0,725.0,725.0,416.0,38.0,414.0,46.0,410.0,689.0,0.5,false
VacuumRobot,5,4,71111.0,42093.0,34022.0,707.0,707.0,445.0,15.0,445.0,4.0,452.0,689.0,0.5,false
VacuumRobot,5,5,54973.0,32873.0,20427.0,691.0,691.0,297.0,240.0,297.0,223.0,308.0,689.0,0.5,false
VacuumRobot,5,6,113330.0,67785.0,7712.0,689.0,689.0,14.0,26.0,474.0,27.0,473.0,689.0,0.5,false
VacuumRobot,6,1,3132.0,1835.0,242.0,706.0,706.0,474.0,1.0,473.0,2.0,474.0,624.0,0.5,false
VacuumRobot,6,2,99.0,58.0,15.0,692.0,692.0,23.0,666.0,22.0,667.0,21.0,624.0,0.5,false
VacuumRobot,6,3,10112.0,5890.0,2638.0,634.0,634.0,463.0,14.0,462.0,15.0,461.0,624.0,0.5,false
VacuumRobot,6,4,20749.0,12408.0,2372.0,624.0,624.0,474.0,33.0,473.0,32.0,474.0,624.0,0.5,false
VacuumRobot,7,1,4391.0,2605.0,534.0,708.0,708.0,367.0,1.0,366.0,2.0,365.0,588.0,0.5,false
VacuumRobot,7,2,12869.0,7507.0,4495.0,616.0,616.0,21.0,648.0,20.0,646.0,22.0,588.0,0.5,false
VacuumRobot,7,3,13524.0,7729.0,6290.0,604.0,604.0,28.0,553.0,27.0,554.0,26.0,588.0,0.5,false
