hRange, Ratio, Pr(Ratio)<=
4.0,1.0,1.0
8.0,1.0,0.12666666666666668
8.0,1.25,0.21333333333333335
8.0,1.3333333333333333,0.3666666666666667
8.0,1.5,0.6733333333333333
8.0,1.6666666666666667,0.78
8.0,1.75,0.8400000000000001
8.0,2.0,1.0
13.0,1.0,0.01
13.0,1.125,0.025
13.0,1.1428571428571428,0.045
13.0,1.1666666666666667,0.08
13.0,1.2,0.135
13.0,1.25,0.225
13.0,1.2857142857142858,0.335
13.0,1.3333333333333333,0.445
13.0,1.375,0.5700000000000001
13.0,1.4,0.6950000000000001
13.0,1.4285714285714286,0.805
13.0,1.5,0.915
13.0,1.5714285714285714,0.92
13.0,1.6,0.9750000000000001
13.0,1.6666666666666667,0.9850000000000001
13.0,1.7142857142857142,0.9900000000000001
13.0,1.8,1.0
24.0,1.0769230769230769,0.008
24.0,1.0833333333333333,0.012
24.0,1.0909090909090908,0.024
24.0,1.1,0.032
24.0,1.1111111111111112,0.04
24.0,1.1538461538461537,0.092
24.0,1.1666666666666667,0.14
24.0,1.1818181818181819,0.192
24.0,1.2,0.248
24.0,1.2222222222222223,0.3
24.0,1.2307692307692308,0.408
24.0,1.25,0.532
24.0,1.2727272727272727,0.644
24.0,1.3,0.76
24.0,1.3076923076923077,0.792
24.0,1.3333333333333333,0.936
24.0,1.3636363636363635,0.9600000000000001
24.0,1.4,0.9800000000000001
24.0,1.4444444444444444,1.0
1.7976931348623157E308,1.0416666666666667,0.00931098696461825
1.7976931348623157E308,1.0434782608695652,0.01675977653631285
1.7976931348623157E308,1.0454545454545454,0.024208566108007448
1.7976931348623157E308,1.0476190476190477,0.03165735567970205
1.7976931348623157E308,1.05,0.037243947858473
1.7976931348623157E308,1.0526315789473684,0.04283054003724395
1.7976931348623157E308,1.0555555555555556,0.046554934823091254
1.7976931348623157E308,1.0588235294117647,0.05027932960893856
1.7976931348623157E308,1.0625,0.05400372439478586
1.7976931348623157E308,1.0666666666666667,0.05772811918063316
1.7976931348623157E308,1.0714285714285714,0.061452513966480465
1.7976931348623157E308,1.0833333333333333,0.10428305400372442
1.7976931348623157E308,1.0869565217391304,0.13966480446927376
1.7976931348623157E308,1.0909090909090908,0.17318435754189945
1.7976931348623157E308,1.0952380952380953,0.2048417132216015
1.7976931348623157E308,1.1,0.2420856610800745
1.7976931348623157E308,1.105263157894737,0.27001862197392923
1.7976931348623157E308,1.1111111111111112,0.2960893854748603
1.7976931348623157E308,1.1176470588235294,0.3258845437616387
1.7976931348623157E308,1.125,0.3929236499068901
1.7976931348623157E308,1.1304347826086956,0.43947858472998136
1.7976931348623157E308,1.1333333333333333,0.4692737430167598
1.7976931348623157E308,1.1363636363636365,0.5139664804469274
1.7976931348623157E308,1.1428571428571428,0.590316573556797
1.7976931348623157E308,1.15,0.6294227188081937
1.7976931348623157E308,1.1578947368421053,0.6797020484171322
1.7976931348623157E308,1.1666666666666667,0.7318435754189945
1.7976931348623157E308,1.1764705882352942,0.7783985102420857
1.7976931348623157E308,1.1818181818181819,0.7802607076350094
1.7976931348623157E308,1.1875,0.8268156424581007
1.7976931348623157E308,1.1904761904761905,0.830540037243948
1.7976931348623157E308,1.2,0.8864059590316575
1.7976931348623157E308,1.2105263157894737,0.8938547486033521
1.7976931348623157E308,1.2142857142857142,0.9366852886405961
1.7976931348623157E308,1.2222222222222223,0.947858472998138
1.7976931348623157E308,1.2352941176470589,0.9608938547486036
1.7976931348623157E308,1.25,0.9739292364990692
1.7976931348623157E308,1.2666666666666666,0.9832402234636874
1.7976931348623157E308,1.2857142857142858,1.0
